"","miR.92a.3p","let.7c","miR.24.3p","miR.101.3p","miR.100.5p","miR.103a.3p","miR.30a.3p","miR.22.3p","miR.199b.3p","miR.199a.3p","miR.1269a","miR.93.5p","miR.1307.3p","miR.197.3p","miR.192.5p","miR.25.3p","miR.181a.5p","miR.126.3p","miR.223.3p","miR.9.5p","miR.29a.3p","miR.194.5p","miR.148a.3p","let.7a.5p","let.7d.3p","let.7b.5p","miR.205.5p","miR.142.3p","miR.28.3p","miR.30d.5p","miR.10b.5p","miR.182.5p","miR.143.3p","miR.21.5p","miR.10a.5p","miR.210","miR.375","miR.99b.5p","let.7f.5p","miR.30a.5p","miR.200c.3p","miR.183.5p","miR.23a.3p","miR.203a","miR.196b.5p","miR.16.5p","miR.92b.3p","miR.30e.3p","miR.21.3p","miR.191.5p"
"TCGA-BL-A0C8",0.275007705901738,-2.8427112143079,0.0971295479756407,0.377352502190087,-2.19862516907823,1.0556436258082,0.104357814156579,0.780877735613366,-2.04844061398788,-2.04823939605927,4.25840122473933,0.781435039877088,-0.0261890537076859,-0.345101312734415,0.92760057354498,0.544416912498519,-0.260730311335204,2.1858937238114,1.27990650997093,-2.18756119610206,-1.00950193194351,1.37488877100153,-3.33233945288633,0.312666023091491,-0.0660604466141912,-1.67263233188403,1.92713705182072,-0.475369842836324,0.881352624511173,0.0756108235563833,0.791450694191653,1.64038965298542,2.22956728323349,-1.21361956175277,-0.224930080651735,-2.45155982178659,-3.71653163456953,0.151812170006243,2.16836208264483,0.392880612409478,1.64366366708228,1.2857093764333,-1.06074920502191,-0.96080413214955,-0.517009032713624,1.01734271885289,-2.45647226412899,0.952078957982691,-0.864703700919449,0.526224529146523
"TCGA-BL-A13I",0.224546734262191,-1.41777735639573,0.331587911129056,-0.792233647090013,0.324446646239132,1.93033439303495,0.107672508850293,0.843000049679596,-2.57482396303522,-2.57379153616051,1.99057493724311,0.745440988900571,1.96670165813322,1.12265242897326,-1.63175430779842,0.79154602646004,-0.0642195002093349,0.765842679832277,1.94018425056825,-0.138042885422287,-0.852826601045281,-1.14141826459865,-2.68203138590623,0.507810915519958,0.830728545409716,-0.64936153705994,-3.095071329422,-0.54327118765675,0.428871169264974,-0.789643750145416,1.64744550685223,-1.64072187947478,1.34539258696471,0.603275929802468,0.224244753520258,-5.0186231344603,-5.6523167685115,0.315093821314347,1.88808048448056,-0.262406748448953,-5.18602744900684,-1.14928413821174,0.255762537478558,-3.25683317606197,-1.26103668642414,-0.0455618760017593,0.586287258461787,0.912677000956995,1.23659432241967,-0.975680446460332
"TCGA-BL-A13J",-0.486067017818646,-0.44177420456707,0.647788048767323,-0.433786185546515,0.567484823385296,-0.495928572690243,-1.25485366269693,0.311903401583548,0.235273011396684,0.235536811176084,1.57339624677799,0.104171230907129,-0.226341208381816,-0.0705706425607922,-0.062080819013822,-0.477248835673715,-1.00500100436542,-1.03925259313108,-0.991821166763878,2.07309162553007,0.0505747364974063,0.468916326925401,-1.14085915156121,0.0277261749265989,-0.207197595606953,-1.07649474446635,4.20828296966975,-1.85886154383562,0.0469674234030624,-0.643412812688924,-0.570017932804559,1.80564736621858,2.50578575488363,-0.179695101133731,-0.706350797976251,-1.1066508986702,-4.08117319896915,-1.58534280073751,1.06092889606795,-1.08748880633286,-0.412999823113823,2.07567545702954,-0.183395492684671,3.98115505022127,0.732136188391326,-2.1089435811896,-1.66081651049528,-0.738821059038905,-1.07592242574272,0.18428515144736
"TCGA-BL-A3JM",0.682121863559324,0.936331309863084,0.814569009551434,0.98951194430021,0.237207564585695,2.07016767204261,-1.4539254349467,1.12289960415747,1.26013072147435,1.26053883284033,8.03346374983739,1.04204869857356,0.805692769552728,-0.3032479845951,0.541098330085605,0.556543151090651,-0.426963261603261,-0.44664380247713,-0.298984405974014,0.717054914685797,-0.436964212307734,0.564350660930579,-0.124557776516049,0.201928393493743,0.321099408978181,-0.616606016567118,1.57502645425389,-0.469497549095275,-0.576464488339317,-0.0493475142849995,-0.237325650648737,0.19920413710701,1.58806267599195,0.214833013517811,-0.385594746457375,-2.01013614162019,-7.60934677605302,-0.132079945642095,1.17432579272754,-1.15398691665943,0.352971868029465,0.846957196827901,0.150497805656741,1.1651368089519,1.70949833719244,-0.47718376273637,2.44028938429413,-0.511059296887769,0.50404515086116,-0.825876039114858
"TCGA-BT-A0S7",1.23748753445131,1.29922356280843,0.30714605129687,0.229999771837534,0.464362848188667,0.522725473818017,-0.478090808303753,0.977855430973573,0.446226016661926,0.44586186382343,-2.12815991311223,0.64859556229089,0.866417171737139,0.612237135114869,-0.929856597136745,0.916727380279317,-1.06554585461487,1.18220001082496,2.6714845151263,0.894523027841819,-0.132168623704489,-0.279482756581311,-0.601295574771921,1.19147300880572,-0.169735774623259,0.915443561219003,2.51815506830065,0.445490168544248,0.172352782000353,-0.79007963982664,1.67952940079965,0.0434897397693046,0.839781163763039,-0.583667479161285,0.0110620802133816,-1.26058880402088,-4.03203507979901,-0.0728874920813087,1.26770677298192,-0.665573043744827,-1.03646934165606,0.264323561350254,-0.423343375313584,4.81013009646828,0.341559446266734,0.36544462946026,-1.26335791333493,0.39656586523293,0.267766847164035,-0.275909913372706
"TCGA-BT-A0YX",-0.405957127174556,-2.20774782907067,0.871434697219032,-1.17757892834323,-0.864732035080197,1.16316711736673,-1.91331149895307,1.17500112455223,-1.42917552418929,-1.42859786964266,-1.57650520073974,-0.18396829186814,1.77630979248465,0.0327002943256467,-1.64746075249897,-0.906504573542,-1.42764989064005,-0.978590530026564,1.8260890861135,-0.202086279918012,-1.00726806542306,-0.98946624613714,-1.09783974378853,-0.0385251104734472,0.0242374580823963,-1.26706862799492,4.4640485919781,0.235418282920749,0.137539488531107,-0.705283290569445,0.115392906645143,0.605543384059654,0.303011469533292,0.0870488875881676,-2.00694867683012,0.637208776125231,-2.75847783253954,-1.41985203437464,1.04261678133355,-1.77950681562606,0.837524989081361,1.18629606001499,0.0180398973396496,5.98617482131972,-0.583803383142174,-0.539381139607814,-0.637307778238778,-0.254353825756738,-0.34908235942695,-0.163407983586472
"TCGA-BT-A20J",0.433177484160321,-0.601225774417127,-0.0748882155581434,-0.178711007019256,0.25994869848167,0.495402493372339,-0.0975313575315955,0.0640245937926611,-0.945154104748777,-0.943669437343935,6.82455789537199,0.660691016094416,1.65367636628809,0.908808863490439,0.151333843915415,1.23708101053924,-0.974707629222086,-0.966287994083125,0.408874894003645,0.104346966667343,1.4091034556036,0.703984775261718,0.356907514707475,-0.569911136126233,0.941567176979049,-1.46245489011995,1.55709837477929,0.14857222125141,0.498178200553093,-1.27159065750096,-1.03395610091397,0.950258445313708,2.31433484646714,-0.270279040445061,-1.70922588769631,-4.4814263704456,-1.3446949674451,0.551177294887971,1.25007692264788,-0.642490066402207,1.19283048949641,1.31831307670204,-0.604018037317834,-3.4771257142372,-1.84529565410472,0.0219734962408982,-0.670738939394574,2.77181414941693,0.415055795798333,-0.792569437828913
"TCGA-BT-A20N",0.936326362474718,-1.27349515012802,1.67490985569257,-0.781725526215519,-1.34440403646811,1.61157920273991,-0.862627929727095,0.453433712865298,-0.189229386702733,-0.189400052018758,1.73377674975355,0.0498609810670434,1.51576018699726,1.00417499661153,-0.752196672641167,0.324067392074628,-0.275392396586216,-1.2271235982447,2.32398080691744,3.1374772403734,-0.242687835714996,0.0324742298215783,-0.0872142917700511,-0.549602594324101,0.802099351281493,-0.45211004985407,4.5630791367199,-1.80868962324237,0.776317102846253,0.223474430357474,1.66883289357197,1.88789577125346,1.1998216221564,0.0992180926809318,-1.56777207272422,-1.65872139335481,-5.73766215471929,-0.922086247898637,0.670126782149989,-1.20954465043128,1.80631032186266,2.54252852242874,0.0355825635164191,2.37367031167015,0.150806997411294,-0.440254633722137,0.370382494832404,0.304623460282592,0.621604259970134,0.911362439197461
"TCGA-BT-A20O",-0.431147220859645,0.431636441245441,-0.12612169415498,0.0501211689840293,1.96171102605616,1.08493546501167,-0.652803377618792,0.836317612334053,-0.395436152673103,-0.395105406658629,-2.33753010263493,-0.839916267723749,0.653114973581314,-0.405305977923553,-1.68550614668599,0.258636049800346,-0.00270940599353331,-0.895154874430018,0.945084807368533,0.907476136294216,0.82181299292845,-0.92195297658229,0.732020881801686,0.30417881104233,0.00889567537022984,-0.630798309293013,-3.37466766918018,0.829168675308974,0.0545787637265356,-1.1666379720404,1.06565884401453,-2.46389582693591,1.02445230773414,0.98935828179032,-0.163305955158201,-6.17671642388983,-7.53378201373524,-0.807673576585685,1.4249962422789,-0.943626883165011,-6.1593369996537,-3.01689123147016,-0.356993036330865,-5.83877715005257,-1.57925439412873,0.042362282442598,-0.0398675841726366,0.806385550758256,0.830248539354999,-1.02264547376456
"TCGA-BT-A20P",0.410340255706013,1.73228970362281,0.397295089212317,-0.246670069823006,-2.60683813961036,1.12528592293307,0.0180862315303738,-0.125417006992697,-1.883438141173,-1.88394136835537,-0.94072337280094,0.0846240560092237,0.602126108811907,-0.61012827938112,-1.44309916990759,0.229259709072105,-1.57317522854027,-0.765670109138851,-1.01135237366366,2.70661793992308,0.372512056905657,-0.0995873909343752,0.166243755691132,-0.0959143849701825,-0.788897834921905,-1.09871153665066,5.23833283287228,-3.61095066506077,0.276427274099456,-0.0158365984050892,1.68554987641497,1.59171237840314,0.486965457656197,0.0247825117363547,2.92833124808208,-0.468378778726048,-5.56962842962508,0.419509641294033,0.393298543889927,-0.144617603853238,1.54119654967221,1.22101326430793,-0.0529412032283769,-2.9782516803259,-0.694047755178061,0.135953055604043,-0.520064089523586,0.360513916283431,0.4193958821311,0.89148157968631
